"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017134868","1","0","NJ","3","TGH33N      ","1918","2017","67","Philadelphia","67301"
"2017009870","2","0","PA","7","PT2954Z     ","2017","2017","67","Philadelphia","67301"
"2017090524","2","0","ME","7","2559898     ","2017","2017","67","Philadelphia","67301"
"2017054886","1","0","ON","7","P6822D      ","2018","2017","67","Philadelphia","67301"
"2017053345","1","0","OK","6","3993FL      ","2017","2017","67","Philadelphia","67301"
"2017100635","2","0","PA","7","PT779C8     ","2030","2017","67","Philadelphia","67301"
"2017100749","1","0","OK","7","7250LO      ","2016","2017","67","Philadelphia","67301"
"2018029752","2","0","  ","8","            ","    ","2017","67","Philadelphia","67301"
"2017013570","1","0","ME","7","17-99208    ","2010","2017","67","Philadelphia","67301"
"2017013711","1","0","NC","7","AF12637     ","2017","2017","67","Philadelphia","67301"
"2017037440","1","0","NJ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017091297","1","0","PA","7","XHS3522     ","2018","2017","67","Philadelphia","67301"
"2017033107","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017033142","2","0","  ","1","            ","    ","2017","67","Philadelphia","67301"
"2017113535","1","0","IL","7","557037ST    ","2017","2017","67","Philadelphia","67301"
"2017005447","2","0","PA","8","XHJ3133     ","2017","2017","67","Philadelphia","67301"
"2017023969","1","0","PA","5","XKL2244     ","2018","2017","67","Philadelphia","67301"
"2017031837","1","0","NJ","7","TGH88N      ","2017","2017","67","Philadelphia","67301"
"2017091723","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017091753","2","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017135026","1","0","PA","3","8FW200      ","2010","2017","67","Philadelphia","67301"
"2017135051","2","0","  ","1","            ","    ","2017","67","Philadelphia","67301"
"2017135116","2","0","PA","7","TT14245     ","2018","2017","67","Philadelphia","67301"
"2017004032","2","0","ZZ","7","N/A         ","2017","2017","67","Philadelphia","67301"
"2017119015","2","0","NJ","7","TRK53E      ","2012","2017","67","Philadelphia","67301"
"2017119363","3","0","IL","7","35742ST     ","2017","2017","67","Philadelphia","67301"
"2017118386","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017125616","3","0","OK","7","9038EE      ","2017","2017","67","Philadelphia","67301"
"2017123761","1","0","ME","6","2099525     ","2018","2017","67","Philadelphia","67301"
"2017097148","2","0","TN","7","U676570     ","2017","2017","67","Philadelphia","67301"
"2017097244","2","0","FL","7","0962CT      ","2000","2017","67","Philadelphia","67301"
"2017057184","2","0","ME","7","2135144     ","2021","2017","67","Philadelphia","67301"
"2017023112","1","0","PA","7","PT793A1     ","2222","2017","67","Philadelphia","67301"
"2017023156","1","0","ME","7","2622978     ","2026","2017","67","Philadelphia","67301"
"2017023229","1","0","ZZ","7","            ","    ","2017","67","Philadelphia","67301"
"2017052154","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017017666","1","0","NJ","7","TJJ65Z      ","2017","2017","67","Philadelphia","67301"
"2017032915","1","0","PA","7","PT908C9     ","2017","2017","67","Philadelphia","67301"
"2017039544","1","0","NJ","7","TMR70F      ","2010","2017","67","Philadelphia","67301"
"2017093044","2","0","ME","7","2452587     ","2019","2017","67","Philadelphia","67301"
"2017093052","2","0","IA","7","DB8528      ","2017","2017","67","Philadelphia","67301"
"2018001694","2","0","IL","7","T523340     ","2018","2017","67","Philadelphia","67301"
"2017039080","2","0","PA","7","PT100B2     ","2017","2017","67","Philadelphia","67301"
"2017039097","2","0","PA","6","PT3755S     ","2018","2017","67","Philadelphia","67301"
"2017026041","2","0","WV","7","C299930     ","2017","2017","67","Philadelphia","67301"
"2017055657","1","0","TN","7","UG086A      ","2017","2017","67","Philadelphia","67301"
"2017035745","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017035824","1","0","VA","6","J74S98      ","    ","2017","67","Philadelphia","67301"
"2017035829","2","0","PA","8","0HJ64       ","9999","2017","67","Philadelphia","67301"
"2017035895","2","0","NC","7","AE76546     ","2017","2017","67","Philadelphia","67301"
"2018009814","2","0","PA","7","PT542C2     ","2018","2017","67","Philadelphia","67301"
"2017110875","1","0","ME","7","2631112     ","2018","2017","67","Philadelphia","67301"
"2017110886","2","0","IL","7","T480189     ","2018","2017","67","Philadelphia","67301"
"2017090492","2","0","QC","7","RH0961E     ","2018","2017","67","Philadelphia","67301"
"2017105848","7","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017091177","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017086796","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017086835","1","0","  ","2","            ","    ","2017","67","Philadelphia","67301"
"2017086913","1","0","PA","3","XIJPYG7     ","9999","2017","67","Philadelphia","67301"
"2017019109","1","0","NJ","3","KWA6        ","9999","2017","67","Philadelphia","67301"
"2017084185","1","0","NJ","3","TCZ19B      ","2017","2017","67","Philadelphia","67301"
"2017073580","1","0","PA","8","AE99442     ","2017","2017","67","Philadelphia","67301"
"2017112170","1","0","OH","7","F102059     ","2017","2017","67","Philadelphia","67301"
"2017088890","2","0","ZZ","7","XJRWZ95     ","9999","2017","67","Philadelphia","67301"
"2017080271","1","0","NY","7","AS90211     ","2017","2017","67","Philadelphia","67301"
"2017080274","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017043851","2","0","PA","7","P523IC4     ","9999","2017","67","Philadelphia","67301"
"2018026805","1","0","  ","4","            ","    ","2017","67","Philadelphia","67301"
"2018026805","4","0","  ","4","            ","    ","2017","67","Philadelphia","67301"
"2017126420","2","0","PA","1","JPN9498     ","2017","2017","67","Philadelphia","67301"
"2017130595","2","0","PA","9","XKS1010     ","2018","2017","67","Philadelphia","67301"
"2017130637","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017130639","2","0","  ","8","            ","    ","2017","67","Philadelphia","67301"
"2017130678","1","0","NJ","7","TFL80P      ","9999","2017","67","Philadelphia","67301"
"2017067577","2","0","ME","7","198945C     ","2019","2017","67","Philadelphia","67301"
"2017067716","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017049656","1","0","OR","7","HR13926     ","2017","2017","67","Philadelphia","67301"
"2017049656","2","0","LA","7","L948851     ","2018","2017","67","Philadelphia","67301"
"2017068305","3","0","NJ","7","THV47A      ","2017","2017","67","Philadelphia","67301"
"2017068311","2","0","ME","7","22TLR93685  ","2018","2017","67","Philadelphia","67301"
"2017116090","2","0","ZZ","7","99999999999 ","9999","2017","67","Philadelphia","67301"
"2017116133","2","0","  ","3","            ","    ","2017","67","Philadelphia","67301"
"2017117491","2","0","PA","7","AF68432     ","2018","2017","67","Philadelphia","67301"
"2017083235","2","0","PA","6","PT91114     ","2018","2017","67","Philadelphia","67301"
"2017096734","1","0","ME","7","1866784     ","2017","2017","67","Philadelphia","67301"
"2017023535","1","0","OK","6","570B6S      ","    ","2017","67","Philadelphia","67301"
"2017024704","1","0","ME","3","2817859     ","2017","2017","67","Philadelphia","67301"
