"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2018025165","4","1","7","1","00","00","00","0","74","F","0","0","N","  ","9","01","1","2","2017","67","Philadelphia","67301"
"2017067925","1","1","1","0","00","00","01","0","99","U","0","0"," ","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017067925","2","1","7","4","00","00","00","0","24","M","0","0","Y","  ","0","01","2","9","2017","67","Philadelphia","67301"
"2017067931","1","1","1","4","03","01","01","0","24","F","0","0","Y","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067931","1","2","2","4","03","00","05","0","9","F","0","0","Y","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067931","1","3","2","0","04","00","04","0","4","F","0","0","Y","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067931","1","4","2","0","04","00","06","0","5","F","0","0","Y","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067931","2","1","1","0","03","12","01","0","41","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067931","2","2","2","4","03","12","03","0","39","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067931","3","1","1","0","03","12","01","0","68","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067934","1","1","1","0","00","00","01","0","20","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067934","2","1","1","4","03","01","01","0","58","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067942","1","1","1","0","00","00","01","0","24","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067942","2","97","7","3","00","00","00","0","8","M","0","0","Y","  ","0","05","3","9","2017","67","Philadelphia","67301"
"2017067960","1","1","1","4","99","99","01","1","52","M","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","1","2","2","4","99","99","06","1","11","M","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","2","1","1","4","99","99","01","1","53","M","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","2","2","2","4","99","99","06","1","46","F","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","2","3","2","0","99","99","07","1","14","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","2","4","2","0","99","99","06","1","13","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","2","5","2","0","99","99","04","1","17","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017067960","2","6","2","0","99","99","04","1","11","F","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068011","1","1","1","0","03","00","01","0","51","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068011","1","2","2","0","03","00","15","0","24","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068011","2","1","7","8","00","00","00","0","20","F","0","0","Y","  ","0","05","3","9","2017","67","Philadelphia","67301"
