"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_NAME","MUNICIPALITY"
"67","2017","2017093611","02","","N","4","4","","","25","OXFORD AV","Philadelphia","67301"
"67","2017","2017093616","02","","N","3","4","","","25","OAKLAND ST","Philadelphia","67301"
"67","2017","2017093624","02","","N","4","4","","","25","MAIN ST","Philadelphia","67301"
"67","2017","2017093624","02","610","N","3","2","3009","0100","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017093629","02","","E","6","4","","","25","CATHEDRAL AV","Philadelphia","67301"
"67","2017","2017093629","3 ","443","N","3","2","3009","0190","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017093629","3 ","294","S","4","2","3009","0191","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017093629","02","","E","5","4","","","25","CATHEDRAL RD","Philadelphia","67301"
"67","2017","2017093639","02","","W","3","4","","","25","CHESTNUT HILL AV","Philadelphia","67301"
"67","2017","2017093648","01","","N","3","4","","","25","LEITHGOW ST","Philadelphia","67301"
"67","2017","2017109900","01","","N","3","4","","","25","KINDRED ST","Philadelphia","67301"
"67","2017","2017109900","02","","E","4","4","","","25","LONGSHORE AV","Philadelphia","67301"
"67","2017","2017109931","2 ","0","S","5","2","1011","0091","30","WELSH RD","Philadelphia","67301"
"67","2017","2017109931","2 ","0","N","3","2","1001","0140","35","VERREE RD","Philadelphia","67301"
"67","2017","2017109931","2 ","0","N","4","2","1011","0090","30","WELSH RD","Philadelphia","67301"
"67","2017","2017109958","02","","E","3","4","","","25","RED LION RD","Philadelphia","67301"
"67","2017","2017109958","3 ","0","N","4","2","6001","0340","45","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017078709","3 ","2151","W","6","2","1008","0020","25","LEVICK ST","Philadelphia","67301"
"67","2017","2017078709","3 ","1856","W","3","2","0013","0201","25","LEVICK ST","Philadelphia","67301"
"67","2017","2017078709","2 ","0","N","4","2","0013","0220","30","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017078709","2 ","0","S","5","2","0013","0221","30","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017078759","01","","S","3","4","","","25","N 17TH ST","Philadelphia","67301"
"67","2017","2017078810","01","","E","3","4","","","25","LUDLOW ST","Philadelphia","67301"
"67","2017","2017078810","02","","N","4","4","","","25","42ND ST","Philadelphia","67301"
"67","2017","2017078837","02","1185","W","3","2","1002","0050","40","ADAMS AV","Philadelphia","67301"
"67","2017","2017078838","02","","S","4","4","","","30","SUMMERDALE AV","Philadelphia","67301"
"67","2017","2017078838","01","","E","3","4","","","25","GLENVIEW ST","Philadelphia","67301"
"67","2017","2017078867","2 ","0","S","3","2","3009","0160","30","RIDGE AV","Philadelphia","67301"
"67","2017","2017078867","02","","W","4","4","","","25","WIGARD AV","Philadelphia","67301"
"67","2017","2017091819","2 ","2419","S","4","2","0013","0151","30","HUNTING PARK AV","Philadelphia","67301"
"67","2017","2017091819","2 ","0","E","5","2","1004","0010","30","ERIE AV","Philadelphia","67301"
"67","2017","2017091819","2 ","2423","N","3","2","0013","0150","30","HUNTING PARK AV","Philadelphia","67301"
"67","2017","2017091820","3 ","2807","N","3","2","6001","0370","45","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017066502","3 ","2538","S","3","1","0095","0231","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017090615","2 ","1175","N","3","2","3007","0080","35","KELLY DR","Philadelphia","67301"
"67","2017","2017105313","03","","S","3","4","","","35","MARTIN LUTHER KING JR DR","Philadelphia","67301"
"67","2017","2017053344","3 ","1016","S","3","1","0095","0271","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017060491","02","","N","3","4","","","25","59TH ST","Philadelphia","67301"
"67","2017","2017060491","02","","E","4","4","","","25","OXFORD ST","Philadelphia","67301"
"67","2017","2017060535","2 ","1807","S","3","2","1004","0220","30","TORRESDALE AV","Philadelphia","67301"
"67","2017","2017060535","02","","S","5","4","","","30","TORRESDALE AV","Philadelphia","67301"
"67","2017","2017060535","2 ","1312","W","4","2","1016","0070","25","LINDEN AV","Philadelphia","67301"
"67","2017","2017060562","2 ","0","S","4","2","0532","0081","35","BUSTLETON AV","Philadelphia","67301"
"67","2017","2017060562","2 ","0","N","3","2","0532","0080","35","BUSTLETON AV","Philadelphia","67301"
"67","2017","2017060562","02","","E","5","4","","","25","BYBERRY RD","Philadelphia","67301"
"67","2017","2017071265","2 ","1355","E","3","2","3010","0110","25","MARKET ST","Philadelphia","67301"
"67","2017","2017071265","02","","S","4","4","","","25","17TH ST","Philadelphia","67301"
"67","2017","2017071275","01","","N","4","4","","","25","SALMON ST","Philadelphia","67301"
"67","2017","2017071275","2 ","498","E","3","2","1009","0010","25","BRIDGE ST","Philadelphia","67301"
"67","2017","2017088752","01","","E","3","4","","","25","WALTON AV","Philadelphia","67301"
"67","2017","2017088752","01","","S","4","4","","","30","59TH ST","Philadelphia","67301"
"67","2017","2017088814","02","","E","3","4","","","25","WOODBINE AV","Philadelphia","67301"
"67","2017","2017093547","02","0","N","3","2","2161","0010","25","ELEVENTH ST","Philadelphia","67301"
"67","2017","2017093547","3 ","2000","W","4","2","2676","0011","25","VINE ST","Philadelphia","67301"
"67","2017","2017093547","02","","N","5","4","","","25","11TH ST","Philadelphia","67301"
"67","2017","2017093589","2 ","0","E","3","2","3023","0030","25","KINGSESSING AV","Philadelphia","67301"
"67","2017","2017093589","02","","N","4","4","","","25","58TH ST","Philadelphia","67301"
"67","2017","2017098615","4 ","1207","S","3","1","0095","0241","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017109902","02","","S","5","4","","","25","2ND ST","Philadelphia","67301"
"67","2017","2017109902","03","1075","S","3","2","8009","0520","25","RAMP RD","Philadelphia","67301"
"67","2017","2017109902","03","","W","4","4","","","25","CALLOWHILL ST","Philadelphia","67301"
"67","2017","2017109903","02","1872","S","3","2","0532","0031","35","BUSTLETON AV","Philadelphia","67301"
"67","2017","2017109973","02","","S","3","4","","","25","S 60TH ST","Philadelphia","67301"
"67","2017","2017109981","02","","E","3","4","","","25","ORLEANS ST","Philadelphia","67301"
"67","2017","2017109981","02","","N","4","4","","","25","GERMANTOWN AV","Philadelphia","67301"
"67","2017","2017078786","2 ","780","S","3","2","3007","0131","35","KELLY DR","Philadelphia","67301"
"67","2017","2017078830","01","","W","3","4","","","25","SOMERSET ST","Philadelphia","67301"
"67","2017","2017078893","3 ","2680","S","3","2","6001","0201","40","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017038023","3 ","2144","W","3","1","0676","0003","55","VINE STREET EX","Philadelphia","67301"
"67","2017","2017067939","2 ","327","E","3","2","3010","0100","30","MARKET ST","Philadelphia","67301"
"67","2017","2017067939","02","","N","5","4","","","25","22ND ST","Philadelphia","67301"
"67","2017","2017067939","3 ","332","W","4","2","3010","0101","30","MARKET ST","Philadelphia","67301"
"67","2017","2017067966","4 ","1112","E","3","2","3010","0054","30","MARKET ST","Philadelphia","67301"
"67","2017","2017067966","02","","N","5","4","","","25","36TH ST","Philadelphia","67301"
"67","2017","2017067966","2 ","1114","W","4","2","3010","0055","30","MARKET ST","Philadelphia","67301"
"67","2017","2017068018","2 ","0","E","5","2","3025","0010","35","LINDBERGH BL","Philadelphia","67301"
"67","2017","2017068018","2 ","0","E","3","2","3004","0040","35","SIXTYTHIRD ST","Philadelphia","67301"
"67","2017","2017068018","2 ","0","W","4","2","3004","0041","35","SIXTYTHIRD ST","Philadelphia","67301"
