"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_NAME","COUNTY","MUNICIPALITY"
"02","1","1","401 E LINDEN AVE","","LINDEN","NJ","07036","CUSTOM BANDAG INC","8566308359","2017","2017018234","019500","","","","","N","","","","","","N","","00536244","09","Philadelphia","67","67301"
"99","8","3","6231 WALNUT","","PHILA","PA","19139","DOUBLE DZ INC","9999999999","2017","2017018541","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILADELPHIA","PA","99999","SEPTA","2155807800","2017","2017018542","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"03","7","1","100 S BROAD ST 3RD FL","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA","2156861776","2017","2017018713","060000","","","","","N","","","","","","N","","","04","Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2017","2017019076","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","2","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2017","2017019081","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","1","734 SCHUYLKILL AVE","","PHILA","PA","19132","SCHOOL DISTRICT OF PHILADELPHIA","9999999999","2017","2017019116","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","4","1","2931 NORTH HANCOCK ST","","PHILADELPHIA","PA","19133","DIAZ EXPRESS LLC","2158392959","2017","2017019124","073280","","","","","N","","","","","","N","","02890966","03","Philadelphia","67","67301"
"99","8","2","440 N BROAD ST","","PHILA","PA","19130","SCHOOL DISTRICT OF PHILADELPHIA","9999999999","2017","2017019147","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"02","8","2","4300 WEAVER PARKWAY","","WARRENVILLE","IL","60555","DURHAM SCHOOL SERVICES LP","6308219059","2017","2017019534","027500","","","","","N","","","","","","N","","00350651","11","Philadelphia","67","67301"
"05","1","2","167 BRADDOCK AVE","","WINSLOW","NJ","08037","PHASE II TRUCKING INC","6095611599","2017","2017019692","080000","","","","","N","","","","","","N","","00057789","06","Philadelphia","67","67301"
"03","9","1","4665 CALVERT DR UNIT 10","","ROLLING MEADOWS","IL","60008","AZIM TRANS INC","6308030547","2017","2017020480","080000","","","","","N","","","","","","N","","02481268","08","Philadelphia","67","67301"
"05","1","1","157 COLLEGE AVE","","WATERVILLE","ME","04901","P  J TRUCKING","2075120706","2017","2017020571","080000","","","","","N","","","","","","N","","01119489","08","Philadelphia","67","67301"
"99","1","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2017","2017021505","999999","","","","","N","","","","","","N","","99999999","06","Philadelphia","67","67301"
"99","0","2","PO BOX 348","","LUMBERTON","NJ","08048","AMERICAN DISPOSAL SYSTEMS INC","6092676868","2017","2017021564","999999","","","","","N","","","","","","N","","00743462","05","Philadelphia","67","67301"
"99","4","1","1750 WALTON RD","","BLUE BELL","PA","19422","HIGHWAY MATERIALS INCORPORATED","6108328000","2017","2017021568","073280","","","","","N","","","","","","N","","02185972","05","Philadelphia","67","67301"
"99","8","2","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2017","2017021580","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"02","8","1","1234 MARKET ST","","PHILADELPHIA","ZZ","191073780","SOUTHEASTERN PENNSYLVANIA TRANSP","2155808100","2017","2017021588","","","","","","N","","","","","","N","","00010206","11","Philadelphia","67","67301"
"99","9","4","CARLISLE ST","","PHILA","PA","19146","R MCNEIL AND SON LLC","9999999999","2017","2017021631","012300","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"02","8","2","1234 MARKET ST 14TH FLO","","PHILADELPHIA","PA","19107","SEPTA","2155807460","2017","2017021692","000000","","","","","N","","","","","","N","","00008051","11","Philadelphia","67","67301"
"04","6","1","411 GARDNER ST","","PHILADELPHIA","PA","191162735","ALFA TRANSPORTATION INC","4128053553","2017","2017023112","026000","","","","","N","","","","","","N","","02903820","08","Philadelphia","67","67301"
"05","1","1","234 OWEN AVE","","LANSDOWNE","PA","19050","H ENTERPRISE GROUP","6109695073","2017","2017023156","080000","","","","","N","","","","","","N","","02380819","08","Philadelphia","67","67301"
"03","1","1","5800 NORTHWEST 47TH AVE","","MIAMI","FL","33166","VELOX TRANSPORT SERVICES","7866936631","2017","2017023229","079000","","","","","N","","","","","","N","","02341009","08","Philadelphia","67","67301"
"04","4","1","5050 LANIS AVENUE","","VINELAND","NJ","08360","LEVARI TRUCKING CO LLC","8566917772","2017","2017023249","083240","","","","","N","","","","","","N","","01566186","09","Philadelphia","67","67301"
"99","3","1","2200 S 75TH AVE","","PHOENIS","AZ","85043","SWIFT TRANSPORTATION CO OF ARIZO","8008002200","2017","2017023535","","","","","","N","","","","","","N","","00054283","06","Philadelphia","67","67301"
"02","7","2","100 SBROAD ST 3RD FL","","PHILADELPHIA","PA","19110","CITY OF PHILA","2156861776","2017","2017023918","026000","","","","","N","","","","","","N","","","03","Philadelphia","67","67301"
"99","9","1","1234 MARKET","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2017","2017024364","013000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"02","1","1","143 HARDING AVE","","BELLMAWR","NJ","08031","AUTO STORE LLC","8533657500","2017","2017024376","013000","","","","","N","","","","","","N","","02632158","03","Philadelphia","67","67301"
"99","3","3","11690 105 ST","","MIAMI","FL","33178","RYDER","2153354250","2017","2017025287","033000","","","","","N","","","","","","N","","00016130","05","Philadelphia","67","67301"
"01","4","2","2900 E BRIDGE ST","","PHILADELPHIA","PA","19137","JOHN D ORAZIO AND SONS INC","2157439440","2017","2017026032","800000","","","","","N","","","","","","N","","00300060","09","Philadelphia","67","67301"
"05","2","2","175 EAST PARK DRIVE","","TONAWANDA","NY","14151","PRAXAIR INC","7168792000","2017","2017026041","080000","2","","","","Y","1","","","","","N","","00332037","08","Philadelphia","67","67301"
"02","1","2","18-24 GRIFFIN WAY","SUITE 216","CHELSEA","MA","02150","JMC TRANSPORTATION LLC","7817262844","2017","2017027536","026000","","","","","N","","","","","","N","","01440610","03","Philadelphia","67","67301"
"05","1","2","451 FREIGHT STREET","","CAMP HILL","PA","17011","PAUL MILLER TRUCKING INC","7172255771","2017","2017027733","999999","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"99","8","3","585 E SWEDESFORD RD","","WAYNE","PA","19087","ENTERPRISE LEASING CO OF PHILA","6108422259","2017","2017028033","039600","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","1","2210 W WESTMORELAND 191","","PHILA","PA","19140","HOOKED INC","9999999999","2017","2017028832","016000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","2","100 ROSS RD STE 203","","KING OF PRUSSIA","PA","19406","FLEETWAY CAP CORP","9999999999","2017","2017028835","019500","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","2","3275 HWY 30","","CLAYTON","AL","99999","BOYD BROS","9999999999","2017","2017028843","999999","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"99","9","1","4000 CLINE","","UNKNOWN","IN","99999","PENNS TRUCK LEASING","9999999999","2017","2017028851","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","1","1809 PENNSYL AV","","CROYDON","PA","19021","JETCON INC","9999999999","2017","2017028938","073280","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","1","1400 METROPOLITAN","","W DEPTFORD","NJ","99999","AMBROGI","9999999999","2017","2017028939","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","1","1","124 W VENANGO ST","","PHILADELPHIA","PA","19140","ASHLEY FOODS INC","9999999999","2017","2017028947","016000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","8","2","1100 GREENWOOD","","YORK","PA","17404","DURHAM SCHOOL SERICES","9999999999","2017","2017028951","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","2","N LINCOLN","","UNKNOWN","OK","99999","HALIBURT ON ENERGY INC","9999999999","2017","2017028967","999999","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"02","1","1","18 HENLEY RD","","WYNNEWOOD","PA","19096","RTCC SERVICES INC FED EX","4842801974","2017","2017028968","019500","","","","","N","","","","","","N","","","03","Philadelphia","67","67301"
"99","9","1","13033 DOROTHY DR","","PHILADELPHIA","PA","19116","NINA TRANS INC","9999999999","2017","2017028990","014000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2017","2017029000","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2017","2017029001","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","1","2","4 MANHATTEN DR","","BURLINGOTN","NJ","08016","MILK INDUSTRY","9999999999","2017","2017029156","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"01","1","3","1050 SWEDESFORD RD","","BERWYN","PA","19312","PECO ENERGY","2155192416","2017","2017029503","","","","","","N","","","","","","N","A-9999999","","00","Philadelphia","67","67301"
"03","1","1","1393 W BALTIMORE PIKE","","WAWA","PA","19063","WAWA","8004449292","2017","2017030217","080000","","","","","N","","","","","","N","","00032945","06","Philadelphia","67","67301"
"99","3","2","2071 BYBERRY RD","","PHILADELPHIA","PA","19116","THACKARY CRANE RENTAL","2154641600","2017","2017030275","080000","","","","","N","","","","","","N","","00769982","08","Philadelphia","67","67301"
"02","8","2","1234 MARKET ST","FLOOR #14","PHILA","PA","19107","SEPTA","2155807800","2017","2017030495","","","","","","N","","","","","","N","","00010206","11","Philadelphia","67","67301"
"02","1","1","255 BUSINESS CNTR DR STE 200","","HORSHAM","PA","19004","STROEHMANN LINE HAUL LP","2158269930","2017","2017030989","019500","","","","","N","","","","","","N","","00665959","03","Philadelphia","67","67301"
"05","1","1","6722 CASTOR AVE.","","PHILADELPHIA","PA","19149","JMAX TRANSPORT","2674674686","2017","2017031837","080000","","","","","N","","","","","","N","","02842150","08","Philadelphia","67","67301"
"04","6","1","12037 WALDEMIRE DR","","PHILADELPHIA","PA","19154","RUBENS LUCK INC","2677740330","2017","2017032915","025500","","","","","N","","","","","","N","","02912983","02","Philadelphia","67","67301"
"99","8","3","1234  MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017033543","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","2","1234  MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017033560","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"05","1","2","52585 DEQUINDRE RD","","ROCHESTER","MI","48308","LETICA","2486520557","2017","2017035434","080000","","","","","N","","","","","","N","","00146102","08","Philadelphia","67","67301"
"03","3","2","568 BLACKBIRD","","SMYRNA","DE","19977","MURRY TRUCKING LLC","3022335024","2017","2017035436","080000","","","","","N","","","","","","N","","00595960","08","Philadelphia","67","67301"
"99","9","1","100 S BROAD ST","","PHILA","PA","99999","CITY OF PHILA","9999999999","2017","2017035589","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","8","2","1229 MARKET ST  14TH FL","","PHILADELPHIA","PA","19107","SEOTA","2155807800","2017","2017035589","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","1","3801 WEST CHESTER PIKE","","NEWTOWN SQ","PA","19073","SUNOCO RETAIL LLC","9999999999","2017","2017035599","080000","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017035643","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","1","10059 SANDMEYER LANE","","PHILA","PA","19116","SERAVALLI INC","9999999999","2017","2017035644","073280","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","1","1554 BENJAMIN FRANKLIN","","PHILADELPHIA","PA","99999","PHILLY ROADSIDE ASSIS","9999999999","2017","2017035664","019500","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","2","917 D ST LAKEWORTH","","UNKNOWN","ZZ","99999","AMARE","9999999999","2017","2017035670","999999","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"99","9","1","950 E MAIN STPO BOX 47","","SCHUYLKILL HAVEN","PA","17972","MBC","9999999999","2017","2017035677","999999","","","","","N","","","","","","N","","","99","Philadelphia","67","67301"
"99","1","1","PARAMOUNT DR","","RAYNHAM","MA","02767","NESTLE WATERS","9999999999","2017","2017035692","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","1","HWY 30","","FT WAYNE","IN","99999","CREST LINCOLN","9999999999","2017","2017035745","999999","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2017","2017035751","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","2","998 SHAVERTOWN RD","","GARNET VALLEY","PA","19060","SELECTIVE DISMANTELMENT INC","9999999999","2017","2017035787","073280","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","2","3850 SALINA RD","","PHILADELPHIA","PA","19154","FAUSER","9999999999","2017","2017035829","012200","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017035837","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017035840","999999","","","","","N","","","","","","N","","","10","Philadelphia","67","67301"
