"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2007046454","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046459","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046825","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046875","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046890","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046919","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047001","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047013","2","U","U","U","U","9","U","U","U","U","00600","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047017","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047124","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047557","1","N","U","N","U","9","U","U","N","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047603","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007047657","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007113824","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007113857","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007114046","1","N","Y","U","N","0","N","N","Y","N","00750","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007115114","1","U","N","U","N","0","","","N","N","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007115206","1","N","N","N","N","1","Y","Y","Y","Y","01000","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116113","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116141","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116205","1","U","U","U","U","9","U","U","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116268","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
