X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,aadb,program,bikepedgroup,bikepedfacility,co_name,mun_name,id
-75.344083,40.112866,137165,jh,Cyclical Count Program Year 2,2017/09/29 00:00:00+00,2017,4209154656,,schuylkill river trail,both,swede st,us 202 dekalb st,Bicycle 2,40.112866,-75.344083,,1.02,E,W,781,Cyclical,Mixed,Multiuse Trail,Montgomery,Norristown Borough,98652
-75.35415581,40.1230633500001,137166,jh,Cyclical Count Program Year 2,2017/09/19 00:00:00+00,2017,4209154656,,w marshall st eastbound lanes,east,haws ave,stanbridge st,Bicycle 2,40.12306335,-75.35415581,,1.02,W,E,35,Cyclical,Mixed,Mixed Traffic,Montgomery,Norristown Borough,98653
-75.35415581,40.1230633500001,137167,jh,Cyclical Count Program Year 2,2017/09/19 00:00:00+00,2017,4209154656,,w marshall st westbound lanes,west,haws ave,stanbridge st,Bicycle 2,40.12306335,-75.35415581,,1.02,E,W,24,Cyclical,Low Volume,Mixed Traffic,Montgomery,Norristown Borough,98654
-75.3424397,40.11356571,137168,jh,Cyclical Count Program Year 2,2017/09/28 00:00:00+00,2017,4209154656,202,dekalb st northbound lanes,north,lafayette st,main st,Bicycle 2,40.11356571,-75.3424397,,1.02,S,N,63,Cyclical,Mixed,Mixed Traffic,Montgomery,Norristown Borough,98655
-75.4215598499999,40.1043755900001,137169,jh,Cyclical Count Program Year 2,2017/09/21 00:00:00+00,2017,4209179136,,s trooper rd nothbound lanes,north,pa 23 port kennedy rd,railroad overpass,Bicycle 2,40.10437559,-75.42155985,,1.02,N,S,160,Cyclical,Mixed,Mixed Traffic,Montgomery,Upper Merion Township,98656
-75.4215598499999,40.1043755900001,137170,jh,Cyclical Count Program Year 2,2017/09/21 00:00:00+00,2017,4209179136,,s trooper rd southbound lanes,south,pa 23 port kennedy rd,railroad overpass,Bicycle 2,40.10437559,-75.42155985,,,N,S,166,Cyclical,Mixed,,Montgomery,Upper Merion Township,98657
-75.388865,40.082297,137171,jh,Cyclical Count Program Year 2,2017/09/21 00:00:00+00,2017,4209179136,,chester valley trail,both,bridge over I 76 schuylkill expwy,king of prussia rd access,Bicycle 2,40.082297,-75.388865,,1.02,W,E,176,Cyclical,Mixed,Multiuse Trail,Montgomery,Upper Merion Township,98658
-75.2338,40.008164,137172,jh,Cyclical Count Program Year 2,2017/10/24 00:00:00+00,2017,4209144976,,bala ave eastbound lanes,east,cynwyd rd,pa 23 conshohocken state rd,Bicycle 2,40.008164,-75.2338,,1.02,W,E,42,Cyclical,Mixed,Mixed Traffic,Montgomery,Lower Merion Township,98659
-75.2606850299999,40.0055924800001,137174,jh,Cyclical Count Program Year 2,2017/10/24 00:00:00+00,2017,4209152664,,haverford ave westbound lanes,west,n narberth ave,forrest ave,Bicycle 2,40.00559248,-75.26068503,,1.02,E,W,83,Cyclical,Mixed,Mixed Traffic,Montgomery,Narberth Borough,98660
-75.297897,40.072542,137175,jh,Cyclical Count Program Year 2,2017/09/29 00:00:00+00,2017,4209115848,,schuylkill river trail,both,cherry st,jones st,Bicycle 2,40.072542,-75.297897,,1.02,E,W,1318,Cyclical,Recreation,Multiuse Trail,Montgomery,Conshohocken Borough,98661
