"CRN","DISTRICT","COUNTY","MUNICIPALITY","POLICE_AGCY","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","COLLISION_TYPE","RELATION_TO_ROAD","WORK_ZONE_TYPE","WORK_ZONE_LOC","WORK_ZONE_IND","INTERSECT_TYPE","TCD_TYPE","LOCATION_TYPE","URBAN_RURAL","FATAL_COUNT","INJURY_COUNT","PERSON_COUNT","TOTAL_UNITS","SCH_BUS_IND","SCH_ZONE_IND","LATITUDE","LONGITUDE","ARRIVAL_TM","CONS_ZONE_SPD_LIM","DISPATCH_TM","EST_HRS_CLOSED","LANE_CLOSED","LN_CLOSE_DIR","NTFY_HIWY_MAINT","SPEC_JURIS_CD","TCD_FUNC_CD","TFC_DETOUR_IND","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","VEHICLE_COUNT","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT","MAJ_INJ_COUNT","MOD_INJ_COUNT","MIN_INJ_COUNT","TOT_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_MAJ_INJ_COUNT","BELTED_DEATH_COUNT","BELTED_MAJ_INJ_COUNT","MCYCLE_DEATH_COUNT","MCYCLE_MAJ_INJ_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_MAJ_INJ_COUNT","PED_COUNT","PED_DEATH_COUNT","PED_MAJ_INJ_COUNT","MAX_SEVERITY_LEVEL","COMM_VEH_COUNT","DEC_LAT","DEC_LONG","RDWY_SURF_TYPE_CD","COUNTY_YEAR"
"2001208939","06","67","67301","67301","2001","01","4","2115","21","3","1","0","4","1","","","N","05","2","00","3","0","1","3","2","N","N","40 03:30.268","75 08:57.263","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0584","-75.1492","","CRASH_2001_Philadelphia"
"2001210647","06","67","67301","67301","2001","02","5","2156","21","3","1","0","8","1","","","N","01","0","00","3","0","1","2","2","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","","","","CRASH_2001_Philadelphia"
"2001210669","06","67","67301","67301","2001","02","5","0830","08","1","1","0","8","1","","","N","00","0","00","3","0","1","2","2","N","N","39 57:09.360","75 09:55.080","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","39.9526","-75.1653","","CRASH_2001_Philadelphia"
"2001223890","06","67","67301","67301","2001","03","6","2346","23","3","1","0","9","1","","","N","00","0","00","3","0","1","2","5","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","5","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","","","","CRASH_2001_Philadelphia"
"2001233221","06","67","67301","67301","2001","04","6","2245","22","3","1","0","1","1","","","N","00","0","00","3","0","1","7","3","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","3","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","","","","CRASH_2001_Philadelphia"
"2001238250","06","67","67301","67301","2001","04","5","1535","15","1","1","0","5","1","","","N","00","0","00","3","0","1","2","2","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0708","-75.1525","","CRASH_2001_Philadelphia"
"2001009006","06","67","67301","67301","2001","06","4","1700","17","1","2","0","6","2","","","N","05","2","00","3","0","1","2","2","N","N","39 59:26.962","75 09:18.734","1710","","1700","","0","","N","","3 ","","","","","","","","","","2","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.9909","-75.1551","","CRASH_2001_Philadelphia"
"2001215647","06","67","67301","67301","2001","02","2","1255","12","1","1","0","4","1","","","N","02","3","00","3","0","1","3","4","N","N","40 00:42.976","75 09:22.903","9999","","9999","","0","","N","","3 ","","","","","","","","","","4","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","40.0119","-75.1564","","CRASH_2001_Philadelphia"
"2001216882","06","67","67301","67301","2001","03","4","1515","15","1","1","0","9","1","","","N","00","0","00","3","0","0","1","3","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","CRASH_2001_Philadelphia"
"2001007252","06","67","67301","67301","2001","05","3","0830","08","1","2","1","8","1","","","N","01","2","00","3","0","1","2","2","N","N","39 58:00.988","75 09:37.166","0945","","0934","","0","","N","","3 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","39.9669","-75.1603","","CRASH_2001_Philadelphia"
"2001206011","06","67","67301","67301","2001","01","5","1937","19","3","1","0","4","1","","","N","01","2","00","3","0","0","2","2","N","N","39 56:52.440","75 13:31.440","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.9478","-75.2254","","CRASH_2001_Philadelphia"
