"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","2018","2018011184","3 ","859","E","3","1","0076","3424","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011185","3 ","2720","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011189","2 ","932","W","3","1","0076","3461","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011193","3 ","1429","W","3","1","0676","0005","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011198","2 ","3345","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011225","03","0","S","3","2","0001","0321","45","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011225","02","0","E","4","2","1018","0030","30","GRANT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011225","02","0","W","5","2","1018","0031","30","GRANT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011387","3 ","3504","N","3","1","0095","0170","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011588","2 ","1719","E","3","2","1011","0100","35","WELSH RD","ROADWAY_2018_Philadelphia","46105"
"67","2018","2018011588","2 ","1712","W","4","2","1011","0101","35","WELSH RD","ROADWAY_2018_Philadelphia","46105"
"67","2018","2018011655","3 ","1035","S","3","1","0095","0141","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011681","1 ","490","S","4","2","8003","0500","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011681","3 ","366","S","3","1","0095","0185","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011798","3 ","2348","W","3","1","0076","3431","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011939","4 ","2898","S","3","1","0095","0195","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011941","01","","E","3","4","","","20","E BUTLER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011955","4 ","2366","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011964","3 ","1704","N","3","1","0095","0164","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012139","2 ","2423","S","6","2","0532","0091","35","BUSTLETON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012139","02","","W","8","4","","","35","COUNTY LINE RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012139","2 ","2422","N","5","2","0532","0090","35","BUSTLETON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012159","3 ","1539","N","3","1","0095","0324","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012171","4 ","2403","E","3","1","0076","3400","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012172","4 ","19","W","3","1","0076","3405","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012173","3 ","1628","E","3","1","0076","3434","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012173","1 ","0","E","4","2","8010","0010","20","RAMP E RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012174","3 ","1416","W","3","1","0076","3435","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012208","3 ","1108","E","3","1","0076","3434","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012246","01","","N","4","4","","","25","41ST ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012246","02","","E","3","4","","","25","CHESTNUT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012269","02","","W","3","4","","","30","BYBERRY RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012270","02","","N","3","4","","","25","TREVOSE RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012270","02","","E","4","4","","","25","EDISON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012381","01","","S","3","4","","","25","15TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012467","03","","W","3","4","","","45","BEN FRANKLIN BR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012555","3 ","1930","N","3","1","0095","0130","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012556","4 ","256","N","3","1","0095","0274","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012557","3 ","2823","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012563","4 ","1340","N","3","1","0095","0250","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012565","5 ","1270","N","3","1","0095","0254","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012670","2 ","1877","N","3","2","0532","0060","35","BUSTLETON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012682","3 ","1276","E","3","1","0676","0002","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012682","1 ","0","N","4","2","8057","0010","20","RAMP C RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012684","4 ","3353","S","3","1","0095","0225","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012693","4 ","506","E","3","1","0076","3400","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012700","3 ","3101","S","3","1","0095","0165","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018012745","3 ","2409","W","3","1","0076","3421","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013428","02","2653","N","6","2","0611","0190","30","OLD YORK RD","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018013437","02","485","W","3","2","1002","0031","35","CHELTENHAM AV","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018013622","02","","N","3","4","","","25","KREWSTOWN RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013635","03","1711","S","3","1","0095","0315","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013635","1 ","1205","S","4","2","8025","0250","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013641","2 ","2567","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013647","2 ","2365","W","4","2","8018","0020","40","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013647","2 ","5530","W","3","1","0076","3445","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013649","4 ","2365","S","3","1","0095","0225","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013665","2 ","911","W","3","1","0076","3455","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013674","3 ","1443","E","3","1","0076","3414","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013676","1 ","3363","S","3","2","8007","0510","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013699","4 ","2128","N","3","1","0095","0194","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013700","3 ","222","E","3","1","0076","3464","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013704","3 ","2287","N","3","1","0095","0184","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013710","3 ","2493","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013714","2 ","1845","E","3","1","0676","0010","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
